mangaid,ha_z
1-121202,0.04065903
1-121202,0.04065903
1-71113,0.07966606
1-71113,0.07966265
1-604791,0.01307287
1-604791,0.01307711
1-121218,0.04404306
1-121218,0.04404306
1-71090,0.07672155
1-71090,0.07672156
1-121209,0.02762785
1-121209,0.02762792
1-71225,0.06507045
1-71225,0.06501407
1-71167,0.01620735
1-71167,0.01620735
1-121236,0.06081812
1-121236,0.0608181
1-121206,0.01918148
1-121206,0.01918148
1-71108,0.04046419
1-71108,0.04046407
1-43654,-999
1-43654,-999
1-43632,0.04172342
1-43632,0.04172342
1-43783,0.03192091
1-43783,0.0319209
1-43651,0.02405082
1-43651,0.02405082
1-43849,0.04342098
1-43849,0.04342099
1-43679,0.02683663
1-43679,0.02689849
1-43663,0.04072317
1-43663,0.04072317
1-43702,0.03902629
1-43702,0.03902629
1-43773,0.03078318
1-43773,0.0307832
1-43680,0.02785012
1-43680,0.02785072
1-43933,0.07642734
1-43933,0.07642694
1-548082,0
1-548082,0
1-43957,0.04039372
1-43957,0.04039372
1-43672,0.02822421
1-43672,0.02822415
1-43956,0.04141393
1-43956,0.04141394
1-43381,0.03816757
1-43381,0.03816758
1-43687,0.079087
1-43687,0.07908706
1-338771,0.03121156
1-338771,0.03121156
1-43733,0.0314496
1-43733,0.0314496
1-604937,0.03141026
1-604937,0.03141026
1-44172,0.04820742
1-44172,0.04820741
1-44117,0.04773803
1-44117,0.04773803
1-339094,0.03124809
1-339094,0.03124809
1-44526,0.03490454
1-44526,0.03501187
1-44180,0.03157857
1-44180,0.03157857
1-339116,0.02393303
1-339116,0.02393303
1-339057,0.04929447
1-339057,0.04928804
1-44141,0.04745234
1-44141,0.04745227
1-44100,0.04611077
1-44100,0.0461106
1-44163,0.03148581
1-44163,0.03148562
1-43741,0.03051258
1-43741,0.03051258
1-44549,0.1363868
1-44549,0.1363898
1-339092,0.05024754
1-339092,0.05022017
1-44083,0.05042896
1-44083,0.05042896
1-44015,0.07788889
1-44015,0.07761361
1-43823,0.04487681
1-43823,0.0448768
1-44565,0.01527344
1-44565,0.01527344
1-44487,0.03173707
1-44487,0.03173707
1-72339,0.04074704
1-72339,0.04074741
1-43629,0.0318137
1-43629,0.0318137
1-44047,0.04160327
1-44047,0.04160317
1-44044,0.04140529
1-44044,0.0414049
1-44483,0.02457846
1-44483,0.0245785
1-44447,0.04125681
1-44447,0.0412568
1-44418,0.03144004
1-44418,0.03146811
1-72322,0.1261496
1-72322,0.1261496
1-44009,0.0410595
1-44009,0.0410595
1-44436,0.04356845
1-44436,0.04356847
1-44479,0.04366952
1-44479,0.04366957
1-44013,0.04153446
1-44013,0.04153447
1-44463,0.04413971
1-44463,0.0441397
1-152389,0.02671924
1-152389,0.02671924
1-120955,0.05123353
1-120955,0.05123353
1-120935,-999
1-120935,-999
1-120967,0.08878461
1-120967,0.08878478
1-556549,0.0271702
1-556549,0.0271702
1-121035,0.03126843
1-121035,0.03135171
1-152474,0.01563528
1-152474,0.01562918
1-152675,0.03924017
1-152675,0.03924017
1-121075,0.09780972
1-121075,0.09780973
1-152563,0.01581728
1-152563,0.01581727
1-152384,0.0459746
